X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"205695",2022/07/15 01:22:00,2022/07/17 13:48:00+00,"325",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,Ancede e Ribadouro,sentinel,3.32326283987815,0,10.2719033232597,0,12.0845921450115,64.6525679758113,9.36555891238388,0.302114803625286,0,0,"0",2022/07/19 12:02:37.371,EU,EU
,,"206150",2022/07/13 12:32:00,2022/07/14 02:32:00+00,"133",PT,PRT,Portugal,Continente,Algarve,Algarve,Almancil,sentinel,0,29.4573643410624,0,0,0,0,70.54263565886,0,0,0,"0",2022/07/19 13:21:28.984,EU,EU
,,"205947",2022/07/15 03:02:00,2022/07/15 14:27:00+00,"1186",ES,ESP,España,Centro (ES),Castilla y León,Zamora,Figueruela de Arriba,sentinel,0,29.7297297297272,0,28.0405405405382,29.8141891891867,4.39189189189152,8.02364864864797,0,0,20.3288246341534,"0",2022/07/19 13:56:24.497,EU,EU
,,"210080",2022/08/25 13:18:00,2022/08/25 13:18:00+00,"3",ES,ESP,España,Centro (ES),Castilla y León,León,Valdefresno,sentinel,99.9999999975,0,0,0,0,0,0,0,0,0,"0",2022/09/02 07:23:28.791,EU,EU
,,"209946",2022/08/28 21:59:00,2022/09/01 03:02:00+00,"3619",ES,ESP,España,Centro (ES),Castilla y León,León,Lucillo,sentinel,7.07377728654305,0,0,0,90.5498756562561,1.7408123791102,0.635534678087852,0,0,71.7261794350975,"0",2022/09/02 07:23:28.791,EU,EU
,,"206165",2022/07/15 10:28:00,2022/07/15 14:27:00+00,"192",PT,PRT,Portugal,Continente,Norte,Terras de Trás-os-Montes,São Julião de Palácios e Deilão,sentinel,0,7.73195876288261,0,0,13.4020618556632,78.8659793814027,0,0,0,99.9685138319706,"0",2022/07/19 13:58:10.083,EU,EU
,,"205334",2022/07/11 21:59:00,2022/07/18 14:20:00+00,"12687",ES,ESP,España,Centro (ES),Extremadura,Cáceres,Ladrillar,sentinel,3.8207026941862,23.1211596029618,0.693240901213166,23.8931778793129,22.1758311013075,9.68961714195675,16.6062706790608,0,0,45.1865815622668,"0",2022/07/21 15:45:43.294,EU,EU
,,"210089",2022/08/26 11:04:00,2022/08/26 13:48:00+00,"11",PT,PRT,Portugal,Continente,Norte,Ave,Joane,sentinel,99.9999999991667,0,0,0,0,0,0,0,0,0,"0",2022/09/02 07:35:39.968,EU,EU
,,"210087",2022/09/01 02:13:00,2022/09/01 02:13:00+00,"37",PT,PRT,Portugal,Continente,Norte,Douro,Vila Verde,sentinel,0,16.2162162161724,27.027027026954,0,0,51.3513513512126,5.4054054053908,0,0,0,"0",2022/09/02 07:33:04.535,EU,EU
,,"210094",2022/08/29 02:19:00,2022/08/29 02:19:00+00,"1",PT,PRT,Portugal,Continente,Norte,Área Metropolitana do Porto,Melres e Medas,sentinel,99.99999999,0,0,0,0,0,0,0,0,0,"0",2022/09/02 07:52:35.153,EU,EU
,,"210095",2022/08/29 13:42:00,2022/08/29 13:42:00+00,"2",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,"Vila Garcia, Aboim e Chapa",sentinel,0,0,0,0,0,99.999999995,0,0,0,0,"0",2022/09/02 07:52:35.153,EU,EU
,,"210096",2022/08/11 13:18:00,2022/08/11 13:27:00+00,"16",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Valdés,sentinel,0,0,0,0,99.9999999994445,0,0,0,0,0,"0",2022/09/02 07:52:35.153,EU,EU
,,"207045",2022/07/19 10:38:00,2022/07/19 10:38:00+00,"9",EL,GRC,Ελλάδα ,Κεντρική Ελλάδα,Πελοπόννησος,"Λακωνία, Μεσσηνία",Δημοτική Κοινότητα Σκάλας,sentinel,0,0,0,99.999999999,0,0,0,0,0,0.0209822100521621,"0",2022/07/28 09:10:58.265,EU,EU
,,"206043",2022/07/17 23:01:00,2022/07/22 12:14:00+00,"1500",ES,ESP,España,Centro (ES),Castilla y León,León,Ponferrada,sentinel,21.3618157543377,6.60881174899822,9.27903871829044,0,61.2817089452563,1.46862483311072,0,0,0,96.2210823880987,"0",2022/07/23 21:36:12.156,EU,EU
,,"205959",2022/07/14 09:45:00,2022/07/14 12:12:00+00,"59",EL,GRC,Ελλάδα ,Βόρεια Ελλάδα,"Aνατολική Μακεδονία, Θράκη",Έβρος,Τοπική Κοινότητα Δωρικού,sentinel,0,45.901639344187,0,0,0,0,54.098360655649,0,0,100,"0",2022/07/19 22:46:15.535,EU,EU
,,"205978",2022/07/18 02:06:00,2022/07/20 02:17:00+00,"284",PT,PRT,Portugal,Continente,Centro (PT),Beiras e Serra da Estrela,Ferro,sentinel,0,0,51.9163763066021,0,0,33.1010452961557,14.9825783972073,0,0,0,"0",2022/07/20 08:19:20.749,EU,EU
,,"206293",2022/07/16 12:23:00,2022/07/16 12:23:00+00,"7",EL,GRC,Ελλάδα ,"Νησιά Αιγαίου, Κρήτη",Κρήτη,Ηράκλειο,Δημοτική Κοινότητα Γαζίου,sentinel,0,0,0,0,99.999999998,0,0,0,0,0,"0",2022/07/20 08:46:09.374,EU,EU
,,"206284",2022/07/18 10:26:46.337,2022/07/18 10:26:46.337+00,"921",PT,PRT,Portugal,Continente,Centro (PT),Beiras e Serra da Estrela,Fatela,sentinel,0,0,0,0,14.4864864864849,25.1891891891865,60.3243243243178,0,0,0,"0",2022/07/20 08:26:55.699,EU,EU
,,"205438",2022/07/13 02:00:00,2022/07/14 13:53:00+00,"469",PT,PRT,Portugal,Continente,Centro (PT),Viseu Dão Lafões,"Tavares (Chãs, Várzea e Travanca)",sentinel,0,0,0,0,63.424947145864,28.5412262156388,8.0338266384761,0,0,0,"0",2022/07/20 08:29:36.370,EU,EU
,,"206291",2022/07/15 12:44:00,2022/07/15 13:42:00+00,"37",PT,PRT,Portugal,Continente,Centro (PT),Beiras e Serra da Estrela,Avelãs de Ambom e Rocamondo,sentinel,0,0,0,0,0,78.3783783781665,21.6216216215632,0,0,0,"0",2022/07/20 08:41:07.703,EU,EU
